"","ID","CODEPER","REL","PCR24_01","PCR24_02","PCR24_03","PCR24_04","PCR24_05","PCR24_06","PCR24_07","PCR24_08","PCR24_09","PCR24_10","PCR24_11","PCR24_12","PCR24_13","PCR24_14","PCR24_15","PCR24_16","PCR24_17","PCR24_18","PCR24_19","PCR24_20","PCR24_21","SITE"
"741",600531,24,0,4,4,4,2,5,2,3,3,2,3,4,2,4,4,4,2,4,2,3,2,3,6
"742",600532,24,0,5,5,3,3,4,2,3,3,4,4,3,2,4,3,5,3,3,2,3,2,3,6
"743",600533,24,0,2,2,2,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,3,6
"744",600534,24,0,5,3,3,5,3,5,2,3,2,1,2,2,3,2,3,1,2,1,2,2,2,6
"745",600540,24,0,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,2,2,2,6
"746",600552,24,0,5,4,4,3,3,3,3,3,2,3,4,3,3,2,5,2,3,2,4,4,4,6
"747",600553,24,0,3,4,5,2,2,3,4,2,2,3,3,2,3,2,3,2,2,2,3,2,2,6
"748",600558,24,0,4,4,4,2,3,3,2,2,2,3,2,2,3,2,3,2,2,2,2,2,2,6
"749",600562,24,0,4,4,3,1,4,5,1,3,1,3,5,2,4,3,3,1,2,1,5,1,1,6
"750",600565,24,0,4,4,3,3,4,4,2,2,2,3,3,3,4,3,3,2,2,2,2,4,3,6
"751",600580,24,0,4,4,2,1,3,2,2,2,2,2,4,2,4,2,3,2,3,2,2,2,2,6
"752",600582,24,0,5,4,3,4,5,3,2,5,3,3,5,4,4,4,4,3,4,4,4,3,4,6
"753",600586,24,0,4,4,4,4,2,4,3,3,4,2,3,4,4,4,3,2,2,2,2,3,3,6
"754",600593,24,0,3,4,3,2,3,3,3,2,3,2,3,2,3,3,3,2,2,2,2,2,2,6
"755",600612,24,0,4,1,4,5,4,5,3,4,5,3,3,4,5,5,5,3,4,4,4,5,3,6
"756",600615,24,0,5,5,3,5,4,5,4,5,4,5,5,5,3,5,3,2,5,3,5,5,5,6
"757",600624,24,0,5,4,5,5,5,5,5,5,5,4,5,5,5,5,3,3,4,3,4,5,5,6
"758",600675,24,0,3,5,3,2,4,5,3,3,4,2,3,3,4,3,4,2,3,2,2,1,2,6
"759",600693,24,0,5,5,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,6
"760",600729,24,0,5,3,3,2,5,4,3,4,5,2,5,4,4,5,4,2,4,2,4,4,4,6
"761",600733,24,0,4,4,2,1,4,2,1,4,3,2,4,3,4,3,3,2,3,3,3,2,2,6
"762",600749,24,0,5,3,4,1,4,5,3,4,4,2,4,3,3,4,3,2,4,2,3,2,2,6
"763",600756,24,0,3,3,3,3,3,3,3,2,2,3,4,3,3,4,3,2,2,2,3,2,2,6
"764",600761,24,0,3,4,3,2,2,3,2,2,2,2,3,3,4,3,2,2,3,2,2,2,2,6
"765",600801,24,0,5,5,5,4,5,4,4,5,4,4,5,4,5,5,4,4,5,4,4,4,3,6
"766",600844,24,0,4,3,4,2,4,2,4,3,3,2,3,3,3,3,3,2,2,2,2,2,2,6
"767",600855,24,0,4,2,4,4,4,3,2,5,5,4,4,4,3,4,5,3,4,3,4,4,4,6
"768",600862,24,0,5,4,4,5,5,5,3,5,2,5,5,3,5,5,5,2,5,3,5,5,5,6
"769",600868,24,0,5,5,4,4,4,5,1,5,2,4,4,3,5,4,3,2,3,2,3,4,3,6
"770",600898,24,0,5,5,5,2,5,4,5,5,4,3,5,5,4,5,5,2,2,4,2,2,2,6
"771",600917,24,0,4,4,4,4,4,4,3,4,3,4,4,5,4,5,4,4,4,3,3,3,5,6
"772",600921,24,0,5,5,5,4,4,4,2,4,3,4,4,3,4,4,4,3,4,3,4,3,3,6
